time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
2.391493313567480E+000	7.0000185E+006	6.5163811E+001	3.4106586E+000
2.822486614022637E+000	5.5503545E+006	6.3468723E+001	2.0681272E+000
3.253483754495392E+000	4.4009150E+006	6.2800911E+001	1.3377469E+000
3.684487641643500E+000	3.4895153E+006	6.1915539E+001	6.3795865E-001
4.671478701842716E+000	2.7668683E+006	6.0777992E+001	1.1802185E+000
4.963497862365330E+000	2.1938650E+006	6.0631905E+001	1.9301380E+000
5.394499776215525E+000	1.7395339E+006	6.0814747E+001	2.3618705E+000
5.825490489980439E+000	1.3792866E+006	6.1061710E+001	2.6861088E+000
6.256490110448794E+000	1.0936479E+006	6.1334370E+001	2.9525049E+000
6.687481597618898E+000	8.6715969E+005	6.1685825E+001	3.2321858E+000
7.118481218087254E+000	6.8757425E+005	6.2014923E+001	3.5427840E+000
7.549481558526168E+000	5.4518631E+005	6.2404060E+001	3.8998744E+000
7.980481072358089E+000	4.3228547E+005	6.2820011E+001	4.3665090E+000
8.411496852844721E+000	3.4275719E+005	6.3320602E+001	4.9296575E+000
8.842503699968802E+000	2.7177666E+005	6.3911388E+001	5.5368814E+000
9.273485240439186E+000	2.1549325E+005	6.4587967E+001	6.2573266E+000
9.704486034257570E+000	1.7086364E+005	6.5385590E+001	7.0662622E+000
1.013548072139383E+001	1.3548470E+005	6.6300117E+001	7.9640117E+000
1.056650154184899E+001	1.0742652E+005	6.7379555E+001	8.9518585E+000
1.099749113564030E+001	8.5176664E+004	6.8642792E+001	1.0018082E+001
1.142848998281988E+001	6.7538227E+004	7.0074692E+001	1.1152369E+001
1.185949680328486E+001	5.3555527E+004	7.1762970E+001	1.2341630E+001
1.229049370376742E+001	4.2458430E+004	7.3654617E+001	1.3550379E+001
1.272149207085022E+001	3.3671691E+004	7.5801918E+001	1.4745113E+001
1.301348285810673E+001	2.6694254E+004	7.8152588E+001	1.5921342E+001
1.330550377859618E+001	2.1164268E+004	8.0731400E+001	1.6975582E+001
1.359750315247220E+001	1.6784809E+004	8.3475868E+001	1.7974958E+001
1.388947916633333E+001	1.3305373E+004	8.6412247E+001	1.8856152E+001
1.418147939353366E+001	1.0549657E+004	8.9474976E+001	1.9607550E+001
1.465247341591748E+001	8.3664658E+003	9.2610596E+001	2.0272852E+001
1.503248519395129E+001	6.6364258E+003	9.5774597E+001	2.0863190E+001
1.549195244250586E+001	5.2612720E+003	9.8948166E+001	2.1372999E+001
1.595770777130383E+001	4.1713340E+003	1.0218602E+002	2.1864592E+001
1.642471766015660E+001	3.3060610E+003	1.0544595E+002	2.2312908E+001
1.689155912227579E+001	2.6225149E+003	1.0860487E+002	2.2841885E+001
1.735883954451128E+001	2.0793379E+003	1.1184615E+002	2.3369282E+001
1.782593055334291E+001	1.6484186E+003	1.1508732E+002	2.3996799E+001
1.829245734881260E+001	1.3070927E+003	1.1830486E+002	2.4797819E+001
1.875943806432770E+001	1.0366589E+003	1.2159269E+002	2.5745354E+001
1.922632603315287E+001	8.2184375E+002	1.2491583E+002	2.6927366E+001
1.969330880200141E+001	6.5145941E+002	1.2829781E+002	2.8399630E+001
2.015903234417783E+001	5.1681921E+002	1.3184821E+002	3.0176928E+001
2.062497505964711E+001	4.0960684E+002	1.3562407E+002	3.2471046E+001
2.109183177514933E+001	3.2489597E+002	1.3970271E+002	3.5275299E+001
2.156262313086336E+001	2.5760904E+002	1.4446846E+002	3.8552437E+001
2.203145397975459E+001	2.0428076E+002	1.4992323E+002	4.2294956E+001
2.249439880173304E+001	1.6191676E+002	1.5640047E+002	4.6236084E+001
2.296725157086621E+001	1.2839734E+002	1.6404170E+002	5.0220325E+001
2.342523727260414E+001	1.0179132E+002	1.7278551E+002	5.3774925E+001
2.388900798800751E+001	8.0697235E+001	1.8249652E+002	5.6504688E+001
2.461789311596658E+001	6.3996540E+001	1.9259239E+002	5.8016361E+001
2.507872671118821E+001	5.0763489E+001	2.0244875E+002	5.8346245E+001
2.554353566656937E+001	4.0244682E+001	2.1166965E+002	5.7940151E+001
2.598679838098178E+001	3.1909496E+001	2.1953062E+002	5.6977798E+001
2.644938453627401E+001	2.5299564E+001	2.2618080E+002	5.6460285E+001
2.691517725170706E+001	2.0057783E+001	2.3147539E+002	5.7159863E+001
2.735943297945778E+001	1.5900582E+001	2.3561348E+002	5.9164059E+001
2.790558761873399E+001	1.2614354E+001	2.3904930E+002	6.3447792E+001
2.837171582760493E+001	1.0003224E+001	2.4175424E+002	7.0274818E+001
