time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
2.231444799312158E+000	7.0000185E+006	6.4446541E+001	2.9081976E+000
2.699445061531151E+000	5.2457595E+006	6.2208496E+001	1.3787533E+000
3.223462899768492E+000	3.9311443E+006	6.1619450E+001	8.2116169E-001
3.608783104762551E+000	2.9459805E+006	6.0134838E+001	8.3226186E-001
4.273446282924851E+000	2.2076993E+006	5.9794498E+001	1.8521471E+000
4.799461267917650E+000	1.6544408E+006	6.0082561E+001	2.3928566E+000
5.324459666182520E+000	1.2398308E+006	6.0382702E+001	2.8091090E+000
5.849453691131203E+000	9.2912150E+005	6.0785702E+001	3.1881714E+000
6.374453129392350E+000	6.9627744E+005	6.1195843E+001	3.5975125E+000
6.900447181047639E+000	5.2178594E+005	6.1687843E+001	4.0877705E+000
7.424448699253844E+000	3.9102397E+005	6.2264099E+001	4.6916122E+000
7.950459097599378E+000	2.9303369E+005	6.2992466E+001	5.4591289E+000
8.476448215922574E+000	2.1959434E+005	6.3806358E+001	6.3578262E+000
9.002464427583618E+000	1.6456353E+005	6.4823441E+001	7.3946753E+000
9.528453572565923E+000	1.2332059E+005	6.6045097E+001	8.5686636E+000
1.005645453094621E+001	9.2413898E+004	6.7560562E+001	9.8585272E+000
1.058246591596981E+001	6.9254750E+004	6.9356766E+001	1.1296556E+001
1.110846047426458E+001	5.1903949E+004	7.1480141E+001	1.2802374E+001
1.163346420586458E+001	3.8895488E+004	7.3953423E+001	1.4298269E+001
1.215946132419049E+001	2.9143781E+004	7.6828651E+001	1.5760423E+001
1.254676102261874E+001	2.1841600E+004	8.0007339E+001	1.7125259E+001
1.293377208099992E+001	1.6367279E+004	8.3505081E+001	1.8393734E+001
1.332078009938414E+001	1.2266182E+004	8.7247978E+001	1.9405533E+001
1.385443937804666E+001	9.1906484E+003	9.1144608E+001	2.0303778E+001
1.427417638464249E+001	6.8870708E+003	9.5103981E+001	2.1026255E+001
1.469048347105854E+001	5.1630884E+003	9.9103897E+001	2.1602388E+001
1.508168575636228E+001	3.8687588E+003	1.0310115E+002	2.2220089E+001
1.547267516160355E+001	2.8990730E+003	1.0709800E+002	2.2803082E+001
1.586381563350733E+001	2.1729172E+003	1.1106936E+002	2.3478319E+001
1.625478197207849E+001	1.6284362E+003	1.1507819E+002	2.4294201E+001
1.664551223060698E+001	1.2203903E+003	1.1908218E+002	2.5422260E+001
1.703680987589178E+001	9.1411920E+002	1.2323180E+002	2.6822065E+001
1.742755616104114E+001	6.8521948E+002	1.2738780E+002	2.8711063E+001
1.781918769967160E+001	5.1352081E+002	1.3185312E+002	3.1123560E+001
1.820867745155556E+001	3.8487689E+002	1.3679732E+002	3.4281170E+001
1.860074168350548E+001	2.8843060E+002	1.4254666E+002	3.8250080E+001
1.899045383531484E+001	2.1617636E+002	1.4948944E+002	4.2880493E+001
1.937910604043282E+001	1.6191676E+002	1.5799944E+002	4.7804001E+001
1.976827224556473E+001	1.2135953E+002	1.6832146E+002	5.2396263E+001
2.015639277067385E+001	9.0960411E+001	1.8022496E+002	5.5690666E+001
2.054030092226458E+001	6.8146439E+001	1.9279826E+002	5.7255127E+001
2.116055367168156E+001	5.1062107E+001	2.0484366E+002	5.6765320E+001
2.154806931680650E+001	3.8273109E+001	2.1500650E+002	5.5278709E+001
